_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,what_topics_is_this_review_about,what_topics_is_this_review_about:confidence,comment,id,industry,normalized_rating,what_topics_is_this_review_about_gold
929645031,false,finalized,6,4/9/2016 18:11:00,"","",Do to my age and kidney function I had hard time taking ct and mri test with contrast. Had to reschedule multiple times to complete all test.,SURVEY_e13e8a5544918fee59d70318f973f486_51e1502b0e1c2b900307439f2964cd41,,0.8,
929645032,false,finalized,5,4/8/2016 22:29:21,bedside_manner,0.6217,"Great Dr. !!!
Never made me feel crazy when I was so sick. Thanks for your excellent care.",SURVEY_d744de84a3f817ed72fb4dd343ac96ea_a85aecc76088a4a8b6f171999d3f61e3,,1.0,
929645033,false,finalized,4,4/8/2016 22:45:45,valuepricebilling_issues,0.7696,"Doctor does bloodwork and bills as $80 ""surgery"" in addition to office visit and lab fee. Routine visit and bloodwork billed as medical. 1st and last time to use this doctor.",VITALS.II1vRBB-0i1O-ejmhdSkcg.6x-9Gr9Xw24XEmVSb7nluQ,,0.2,
929645034,false,finalized,3,4/8/2016 22:22:14,other,1.0,Everything has turned out perfectly. I love my device!,SURVEY_100ff08b310cdd59dc5c48b5ff51c099_aa49df8eba5ec6d5bbfc4d096177ecec,,1.0,
929645035,false,finalized,4,4/8/2016 22:45:45,doctor_competence,1.0,"MY HUSBAND HAD SURGERY 5 years ago done by Dr. Goodman and as of now he is in worse pain than when he went in! My husband saw a Dr. at Andrews and was told that the surgery was the worst mess the Dr had ever seen and that Dr. Goodman should be run out of town. I guess he was right, Dr. Goodman has left town. Wish we would have pursued legal action but we were too worn out!",VITALS.gZ1_elzRAnjSeU8T_Ru6Zg.ksUFMMmHg1PialjiavnRuQ,,0.2,
929645036,false,finalized,4,4/8/2016 22:25:24,"doctor_competence
bedside_manner","0.7622
0.4798","We encountered this so-called doctor after our baby was born at St Joseph's hospital. We declined his services and he became snippy, rude, and condescending, following with a report to social services. We filed a formal complaint with Kaiser Permanente, with St Joseph's hospital, and with another body that oversees physicians and hospitals, and received standard responses of ""we've looked in to this and found no problems."" This is my next step. This man has no business dealing with people.",VITALS.VfIJcM0l6B7WYqUu00OpAg.qmTCaeQb3DHl1k0NqbSfAA,,0.2,
929645037,false,finalized,6,4/9/2016 18:41:11,"bedside_manner
doctor_competence","0.6703
0.4965",Denise started with me & was awesome!  Erica was amazing.  Best Dr. Experience I've had in many years.  This is the office I will continue to visit!  Thank you!!!,SURVEY_7b16fd4c8391892a9015aac2153f4f46_9b2ed99e6c8f97977c318cd04d71655c,,1.0,
929645038,false,finalized,3,4/8/2016 22:16:41,valuepricebilling_issues,0.669,"BEWARE!! Do not give these people any money up front. They told me I had to pay in advance and that they would return my money when my insurance paid them. My insurance paid them a month and a half ago and they still have not returned my money. They told me a month ago they were sending a refund, and every time I talk to them the check is ""in the mail"". I fear I will have to take them to court. This office is highly unethical.",VITALS.hbzNhLAdtbO1irtdScDSkA.x8vK6RvC19Jri44F_T6Fxw,,0.2,
929645039,false,finalized,3,4/8/2016 22:10:51,bedside_manner,1.0,Very efficient and friendly practice! Dr. Mittal really listens and I'm very happy to have chosen her for my new doctor!,SURVEY_9476260730ec6668c2307a8bc511ce78_b103b7382ae216b42bd1c466dba56ac3,,1.0,
929645040,false,finalized,5,4/8/2016 22:19:15,staff,0.7954,"As uncomfortable as I'm feeling, these employees are great.",SURVEY_100ff08b310cdd59dc5c48b5ff51c099_5212b4fcead11c28c1e47746a964f8a9,,1.0,
929645041,false,finalized,6,4/8/2016 22:19:02,"bedside_manner
doctor_competence","0.4927
0.4787","Dr. David and acupuncturists Angela and Christina are amazing.  Dr. David is an unusually brilliant and caring doctor.  And his perspective is not easy to find. Most highly recommended fertility doctor in the country, in our opinion. And see Angela for a consult, she is so knowledgeable.",KIOSK_b4b3edc1f98e4c71e73310d8319d3c0f_61eb5ef34d48f330e622f2bda36b5ec2,,1.0,
929645042,false,finalized,5,4/9/2016 17:45:59,"bedside_manner
wait_time","0.5843
0.4117","I have been going to Dr. Etkin Kramer for several years and I have finally decided to never return. For starters, her staff are so unprofessional, so rude and not courteous whatsoever. The wait time is also a huge issue. I arrived before my appointment time every single time, yet without exception, I had to wait between 45 minutes-1 hour in her waiting room to then be subjected to another 20-30 wait in the examination room. For the 2-minute consult she gives, and a crappy one at that where she asks you NO questions, shows no interest in your personal case, and then ushers you out. I will never return and discourage anyone from giving her a chance. She has no business being a doctor.",VITALS.h36Ib9gBjaLfIUz0TVtF6A.u2GdZsGL68IbtIqf67BYhQ,,0.2,
929645043,false,finalized,3,4/8/2016 22:16:41,bedside_manner,1.0,"Dr. Johnson acted like my broken bone was no big deal, like he wasn't even sure why I as there. It was a complicated break, but his attitude was, ""Bones will heal."" He hardly spent any time with me. When I'd ask him questions, he would act like he didn't care, and he always acted like he just wanted to leave the room. When he informed me that my bone didn't heal properly, his attitude was to shrug, like ""oh well."" To this day, months later, I still have daily pain. When i told him about a strange side effect, he said, ""Huh. I've never heard of that before."" And that was all he said. I guess my broken bone wasn't interesting enough for him. I wish sincerely that I had found another doctor. Also, I went to two different locations. When I went to the second one, I discovered, with no warning when I was making the appointment, that this location didn't have it's own x-ray equipment. I had to go downstairs and fill out paperwork and have my xray done by another company in the same building. Instead of my insurance covering it like the last visit, I paid $80 for xrays. When I was making my follow up appointment, had specifically asked if there was any difference between the two locations and was told no. If I had been told that the other location didn't have in-house xrays, I would never have booked there. Some insurance companies won't cover your xrays if they're done outside of the office.",U_COMPARE_HEALTH_CARE.W4OIVpI0dMwT5A7VwXGSlw.rv-9166434,,0.2,
929645044,false,finalized,3,4/9/2016 18:13:51,doctor_competence,1.0,"HIS MEDICAL KNOWLEDGE IS BAD AND POOR, HE DOUBTS A LOT IN FRONT OF YOU, HE LOOKS AT YOU LIKE A MANIAC PERVERT. HIS OFFICE IS A BIG MESS. HIS TREATMENT MADE ME WORSE AND DID NOT CARE ABOUT IT.SEE SOMEONE ELSE. NO WONDER A LOT OF DOCTORS WHO DON'T MAKE IT IN THE CENTRAL AREA OR WEST AREA OF EL PASO COME TO THE EAST SIDE BUT THEY WANT TO EXPERIMENT AND MAKE THEIR MEDICAL MISTAKES WITH THE EAST SIDE COMMUNITY. I DON'T MIND THE DRIVE AND WAIT TO SEE A REAL GOOD MD ON THE WEST SIDE OF TOWN NOW.",VITALS.iIQMXNdjQAyX2uu0a7YDzA.YZW1WVzs0m0LWbfGPSGciw,,0.2,
